排名,名字,价格,24h,7day,最低价,拥有人数,数量,主页
1,CryptoPunks,"3,368.49 ETH",+227.52%,+392.09%,---,3.5K,10.0K,https://opensea.io/collection/cryptopunks
2,Bored Ape Yacht Club,"1,583.83 ETH",+17.99%,+157.67%,86.82,6.4K,10.0K,https://opensea.io/collection/boredapeyachtclub
3,Mutant Ape Yacht Club,835.2 ETH,+65.65%,+172.84%,17,13.1K,19.4K,https://opensea.io/collection/mutant-ape-yacht-club
4,Otherdeed for Otherside,673.69 ETH,-7.28%,+68.56%,2.22,34.4K,100.0K,https://opensea.io/collection/otherdeed
5,CLONE X - X TAKASHI MURAKAMI,654.66 ETH,+16.26%,+273.23%,10.19,9.5K,19.3K,https://opensea.io/collection/clonex
6,Primates,"21,089.06 SOL",-39.61%,---,19.99,5.2K,10.0K,https://opensea.io/collection/primates-solana
7,Moonbirds,472.47 ETH,+20.19%,+255.11%,19.6,6.6K,10.0K,https://opensea.io/collection/proof-moonbirds
8,Gossamer Seed,431.81 ETH,---,---,0.12,3.1K,10.0K,https://opensea.io/collection/gossamer-seed
9,Crypto Cowboy Country,"12,766.82 SOL",---,---,4.53,2.3K,4.1K,https://opensea.io/collection/crypto-cowboy-country
10,Azuki,345.59 ETH,+216.82%,+105.00%,9.75,5.2K,10.0K,https://opensea.io/collection/azuki
11,CryptoNinja Partners,332.54 ETH,+107.35%,+361.23%,0.85,4.4K,22.2K,https://opensea.io/collection/cryptoninjapartners
12,ENS: Ethereum Name Service,332.23 ETH,+71.09%,+240.08%,---,416.2K,1.3M,https://opensea.io/collection/ens
13,goblintown.wtf,324.88 ETH,+9.66%,-33.01%,2.9,4.5K,10.0K,https://opensea.io/collection/goblintownwtf
14,Solana Monkey Business,"10,323.48 SOL",+663.88%,+379.90%,229,2.7K,5.0K,https://opensea.io/collection/solana-monkey-business
15,InuDogeOriginal,284.53 ETH,+78849.09%,---,0.19,197,2.6K,https://opensea.io/collection/inudogeoriginal
16,SNEAKER HEADS Official,273.98 ETH,---,---,0.3,2.6K,3.1K,https://opensea.io/collection/sneakerheadsofficial
17,Art Blocks Playground,256.99 ETH,+308.36%,+528.82%,---,7.3K,27.7K,https://opensea.io/collection/art-blocks-playground
18,Baked Beavers,"8,688.58 SOL",---,---,2.5,2.1K,6.2K,https://opensea.io/collection/baked-beavers
19,projectcrack,243.3 ETH,---,---,160,6,7,https://opensea.io/collection/projectcrack
20,PROOF Collective,216.05 ETH,-9.34%,+558.16%,58.99,943,1.0K,https://opensea.io/collection/proof-collective
21,Art Blocks Curated,215.13 ETH,+33.91%,+81.87%,---,11.7K,57.1K,https://opensea.io/collection/art-blocks
22,The Eternal Pump by Dmitri Cherniak,215 ETH,---,---,290,37,50,https://opensea.io/collection/the-eternal-pump-by-dmitri-cherniak
23,LonelyPop,203.72 ETH,+3295.49%,---,0.18,2.2K,4.2K,https://opensea.io/collection/lonelypop
24,Lacoste UNDW3 Official,139.9 ETH,-73.12%,---,0.2,7.9K,11.2K,https://opensea.io/collection/lacosteundw3
25,Doodles,139.18 ETH,+7.89%,+278.25%,10.99,5.1K,10.0K,https://opensea.io/collection/doodles-official
26,Feet And Eyes Guys,129.37 ETH,-4.60%,---,0.06,6.4K,11.1K,https://opensea.io/collection/feet-and-eyes-guys
27,VeeFriends Series 2,124.69 ETH,+40.10%,+50.65%,0.58,22.7K,54.1K,https://opensea.io/collection/veefriends-series-2
28,FLUF World,124.49 ETH,+38.21%,+87.75%,3.05,3.6K,10.0K,https://opensea.io/collection/fluf
29,PuuvillaSociety,"556,505.5 KLAY",+394.04%,+29.26%,438,2.9K,10.0K,https://opensea.io/collection/puuvillasociety
30,DeGods,"4,213.33 SOL",+203.34%,+38.70%,---,4.2K,10.0K,https://opensea.io/collection/degods
31,Murakami.Flowers Official,118.08 ETH,-8.72%,-15.24%,2.77,5.6K,9.5K,https://opensea.io/collection/murakami-flowers-2022-official
32,pablos.lol,109.54 ETH,-45.01%,-58.50%,0.18,3.9K,10.0K,https://opensea.io/collection/pablos-lol
33,Bulls & Apes Project - Genesis,109.3 ETH,+20.15%,-20.02%,0.52,1.9K,10.0K,https://opensea.io/collection/bullsandapes-genesis
34,Damien Hirst - The Currency,108.73 ETH,+36.75%,+617.87%,7.7,1.7K,2.2K,https://opensea.io/collection/thecurrency
35,Okay Bears,"3,819.43 SOL",-24.06%,-19.06%,96,5.2K,10.0K,https://opensea.io/collection/okay-bears
36,Decentraland,107.39 ETH,+106.21%,+64.35%,2.79,7.3K,97.6K,https://opensea.io/collection/decentraland
37,VeeFriends,96.89 ETH,+160.63%,+97.15%,8.3,5.2K,10.3K,https://opensea.io/collection/veefriends
38,ShitBeast,96.88 ETH,-10.02%,-50.74%,0.53,3.4K,10.0K,https://opensea.io/collection/shitbeast
39,Bored Ape Kennel Club,93.64 ETH,+12.68%,+205.88%,5.98,5.5K,9.6K,https://opensea.io/collection/bored-ape-kennel-club
40,Midnight Panthers,"3,297.17 SOL",-75.15%,---,1.84,3.2K,7.8K,https://opensea.io/collection/midnight-panthers
41,Town Star,93.34 ETH,-23.81%,-29.70%,< 0.01,50.1K,925,https://opensea.io/collection/town-star
42,OnChainMonkey,90.59 ETH,+260.93%,+195.75%,1.74,3.0K,9.5K,https://opensea.io/collection/onchainmonkey
43,The GODA Mint Pass,82.17 ETH,+254.18%,-74.17%,4.49,737,1.0K,https://opensea.io/collection/goda-mint-pass
44,The Sandbox,80.13 ETH,-19.37%,+25.18%,1.73,21.3K,142.1K,https://opensea.io/collection/sandbox
45,Moonbirds Oddities,80 ETH,+2.71%,+67.93%,2.49,6.1K,10.0K,https://opensea.io/collection/moonbirds-oddities
46,LeprechaunTown_WTF,79.61 ETH,-58.75%,---,0.07,3.0K,7.8K,https://opensea.io/collection/leprechauntown-wtf-v2-1
47,Gothic Degens,"2,778.44 SOL",-50.40%,+1285.01%,5.6,1.6K,4.4K,https://opensea.io/collection/gothic-degens
48,Elemental by Fang Lijun,78.37 ETH,+780.56%,+534.49%,4.34,1.2K,2.0K,https://opensea.io/collection/elemental-fang-lijun
49,TIGER I - autogen,"2,718.48 SOL",---,---,---,---,---,https://opensea.io/collection/tiger-i-autogen
50,World of Women,75.3 ETH,+13.15%,+101.94%,4.29,5.5K,10.0K,https://opensea.io/collection/world-of-women-nft
51,Fidenza by Tyler Hobbs,74.9 ETH,---,+727.14%,75,520,999,https://opensea.io/collection/fidenza-by-tyler-hobbs
52,mcgoblin.wtf,73.66 ETH,+30.73%,-42.07%,0.6,3.8K,7.9K,https://opensea.io/collection/mcgoblinwtf
53,mfers,73.19 ETH,-4.92%,-37.04%,1.43,5.6K,10.0K,https://opensea.io/collection/mfers
54,My Curio Cards,72.16 ETH,+246.02%,+260.04%,0.33,5.0K,30,https://opensea.io/collection/curiocardswrapper
55,Dooplicator,70.41 ETH,+1.43%,+144.14%,2.98,5.4K,9.2K,https://opensea.io/collection/the-dooplicator
56,CryptoPunks V1 (wrapped),69.48 ETH,+156.38%,+24.86%,4.89,707,2.5K,https://opensea.io/collection/official-v1-punks
57,Neo Hunters,"2,447.96 SOL",+259.11%,---,4,2.6K,5.6K,https://opensea.io/collection/neo-hunters
58,Boki,66.8 ETH,+29.75%,-50.38%,0.58,3.5K,7.8K,https://opensea.io/collection/bokinftofficial
59,NFT Worlds,65.17 ETH,+107.57%,+77.02%,3.89,777,10.0K,https://opensea.io/collection/nft-worlds
